Frame_Number,FPS
1,0
2,29
3,29
4,29
5,28
6,28
7,28
8,29
9,28
10,28
11,29
12,29
13,29
14,28
15,29
16,29
17,28
18,29
19,29
20,29
21,29
22,28
23,29
24,29
25,28
26,29
27,29
28,28
29,29
30,28
31,29
32,28
33,28
34,29
35,28
36,29
37,29
38,29
39,29
40,28
41,29
42,29
43,28
44,29
45,28
46,29
47,29
48,29
49,29
50,29
51,29
52,29
53,29
54,29
55,29
56,29
57,29
58,29
59,29
60,29
61,29
62,29
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,29
71,29
72,29
73,29
74,29
75,28
76,28
77,29
78,29
79,29
80,28
81,28
82,28
83,29
84,29
85,29
86,29
87,28
88,29
89,29
90,29
91,29
92,29
93,29
94,28
95,29
96,28
97,29
98,28
99,29
100,29
101,29
102,29
103,29
104,28
105,29
106,29
107,29
108,29
109,29
110,29
111,29
112,29
113,29
114,29
115,28
116,29
117,29
118,29
119,29
120,29
121,29
122,29
123,29
124,29
125,29
126,28
127,28
128,28
129,28
130,28
131,29
132,29
133,29
134,29
135,29
136,29
137,29
138,29
139,29
140,29
141,29
142,29
143,29
144,28
145,29
146,29
147,28
148,29
149,29
150,29
151,29
152,29
153,29
154,29
155,29
156,29
157,28
158,29
159,28
160,29
161,29
162,29
163,29
164,29
165,29
166,29
167,28
168,29
169,29
170,28
171,29
172,29
173,29
174,29
175,29
176,29
177,29
178,29
179,29
180,28
181,29
182,28
183,29
184,29
185,29
186,29
187,29
188,29
189,29
190,29
191,29
192,29
193,29
194,29
195,28
196,29
197,29
198,29
199,29
200,29
201,29
202,29
203,29
204,29
205,29
206,29
207,28
208,29
209,29
210,29
211,29
212,29
213,29
214,29
215,28
216,29
217,28
218,29
219,28
220,29
221,29
222,29
223,29
224,29
225,29
226,29
227,29
228,29
229,28
230,28
231,29
232,29
233,29
234,29
235,29
236,29
237,29
238,29
239,29
240,29
241,29
242,29
243,29
244,28
245,29
246,28
247,29
248,29
249,29
250,29
251,28
252,29
253,29
254,28
255,29
256,29
257,29
258,29
259,28
260,29
261,29
262,29
263,29
264,29
265,28
266,29
267,29
268,29
269,29
270,29
271,29
272,29
273,29
274,29
275,29
276,29
277,29
278,29
279,29
280,29
281,29
282,29
283,29
284,29
285,29
286,29
287,28
288,29
289,29
290,29
291,29
292,28
293,29
294,29
295,29
296,28
297,28
298,29
299,29
300,28
301,29
302,29
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,28
312,28
313,29
314,29
315,29
316,29
317,29
318,29
319,29
320,29
321,29
322,29
323,29
324,29
325,29
326,29
327,29
328,28
329,29
330,29
331,29
332,29
333,29
334,29
335,29
336,29
337,29
338,29
339,28
340,29
341,29
342,29
343,28
344,29
345,29
346,28
347,28
348,29
349,29
350,29
351,29
352,29
353,29
354,29
355,29
356,29
357,28
358,29
359,29
360,29
361,28
362,29
363,29
364,29
365,29
366,28
367,29
368,29
369,29
370,29
371,29
372,29
373,29
374,29
375,29
376,29
377,29
378,28
379,28
380,29
381,29
382,29
383,28
384,29
385,28
386,29
387,29
388,29
389,29
390,29
391,29
392,28
393,29
394,28
395,28
396,29
397,29
398,28
399,29
400,28
401,28
402,29
403,29
404,28
405,28
406,29
407,28
408,29
409,28
410,21
411,29
412,29
413,29
414,28
415,29
416,29
417,29
418,28
419,29
420,28
421,29
422,29
423,29
424,28
425,29
426,29
427,29
428,29
429,28
430,28
431,29
432,29
433,29
434,28
435,28
436,29
437,29
438,29
439,29
440,28
441,29
442,29
443,29
444,29
445,29
446,29
447,28
448,29
449,29
450,29
451,29
452,28
453,28
454,29
455,29
456,28
457,29
458,29
459,29
460,29
461,29
462,29
463,29
464,28
465,29
466,28
467,29
468,29
469,29
470,29
471,29
472,29
473,29
474,29
475,29
476,29
477,28
478,24
479,28
480,29
481,29
482,29
483,29
484,29
485,29
486,29
487,29
488,29
489,29
490,29
491,29
492,29
493,28
494,29
495,25
496,29
497,28
498,29
499,29
500,28
501,29
502,29
503,28
504,29
505,29
506,29
507,29
508,28
509,29
510,29
511,29
512,29
513,29
514,29
515,29
516,29
517,29
518,29
519,28
520,29
521,29
522,29
523,29
524,28
525,28
526,28
527,29
528,28
529,29
530,29
531,29
532,29
533,29
534,29
535,29
536,29
537,29
538,29
539,28
540,29
541,29
542,29
543,29
544,28
545,29
546,29
547,29
548,29
549,28
550,29
551,29
552,28
553,28
554,28
555,29
556,29
557,29
558,29
559,29
560,22
561,29
562,29
563,29
564,29
565,29
566,29
567,29
568,28
569,28
570,28
571,29
572,29
573,28
574,28
575,29
576,29
577,29
578,29
579,29
580,29
581,28
582,29
583,29
584,29
585,29
586,29
587,28
588,29
589,29
590,29
591,29
592,29
